Wavelength_nm,n,k
300.0,5.030,4.150
350.0,5.480,3.210
370.0,6.290,2.580
400.0,5.570,0.387
450.0,4.670,0.145
500.0,4.290,0.073
550.0,4.080,0.040
600.0,3.940,0.025
700.0,3.770,0.012
800.0,3.680,0.006
900.0,3.620,0.004
1000.0,3.580,0.002
1100.0,3.550,0.000
1200.0,3.520,0.000
