Wavelength_nm,n,k
400.0,4.300,2.400
500.0,4.850,2.250
600.0,5.600,1.450
700.0,5.400,0.850
800.0,5.050,0.550
900.0,4.800,0.350
1000.0,4.650,0.200
1200.0,4.450,0.080
1400.0,4.350,0.020
1600.0,4.280,0.005
1800.0,4.250,0.000
2000.0,4.200,0.000
