Wavelength_nm,n,k
462,2.208445,2.60329E-1
463,2.211142,2.56565E-1
464,2.213616,2.52671E-1
465,2.215864,2.4867E-1
466,2.217886,2.44582E-1
467,2.219684,2.40429E-1
468,2.221261,2.3623E-1
469,2.222623,2.32002E-1
470,2.223775,2.27761E-1
471,2.224725,2.23523E-1
472,2.225482,2.19302E-1
473,2.226054,2.15108E-1
474,2.22645,2.10954E-1
475,2.22668,2.06847E-1
476,2.226754,2.02797E-1
477,2.226682,1.9881E-1
478,2.226472,1.94892E-1
479,2.226135,1.91047E-1
480,2.22568,1.8728E-1
481,2.225115,1.83593E-1
482,2.224449,1.79989E-1
483,2.22369,1.76469E-1
484,2.222847,1.73035E-1
485,2.221926,1.69687E-1
486,2.220934,1.66424E-1
487,2.219879,1.63248E-1
488,2.218766,1.60156E-1
489,2.2176,1.57148E-1
490,2.216388,1.54224E-1
491,2.215134,1.5138E-1
492,2.213844,1.48617E-1
493,2.212521,1.45932E-1
494,2.211169,1.43324E-1
495,2.209792,1.4079E-1
496,2.208394,1.38329E-1
497,2.206977,1.35938E-1
498,2.205545,1.33617E-1
499,2.204101,1.31362E-1
500,2.202646,1.29172E-1
501,2.201183,1.27045E-1
502,2.199714,1.24979E-1
503,2.198241,1.22972E-1
504,2.196766,1.21021E-1
505,2.19529,1.19127E-1
506,2.193814,1.17285E-1
507,2.192341,1.15495E-1
508,2.19087,1.13756E-1
509,2.189404,1.12064E-1
510,2.187943,1.10419E-1
511,2.186488,1.08819E-1
512,2.185039,1.07263E-1
513,2.183598,1.05749E-1
514,2.182165,1.04275E-1
515,2.180741,1.0284E-1
516,2.179326,1.01444E-1
517,2.177921,1.00084E-1
518,2.176526,9.87589E-2
519,2.175141,9.74683E-2
520,2.173766,9.62107E-2
521,2.172403,9.4985E-2
522,2.17105,9.37902E-2
523,2.16971,9.26251E-2
524,2.16838,9.14887E-2
525,2.167062,9.03803E-2
526,2.165756,8.92987E-2
527,2.164462,8.82431E-2
528,2.163179,8.72127E-2
529,2.161908,8.62066E-2
530,2.16065,8.52241E-2
531,2.159403,8.42644E-2
532,2.158168,8.33268E-2
533,2.156946,8.24105E-2
534,2.155735,8.15149E-2
535,2.154536,8.06394E-2
536,2.153348,7.97833E-2
537,2.152173,7.89459E-2
538,2.151009,7.81268E-2
539,2.149857,7.73254E-2
540,2.148716,7.65411E-2
541,2.147587,7.57734E-2
542,2.146469,7.50218E-2
543,2.145362,7.42858E-2
544,2.144266,7.3565E-2
545,2.143182,7.28589E-2
546,2.142108,7.21671E-2
547,2.141046,7.14892E-2
548,2.139994,7.08248E-2
549,2.138953,7.01734E-2
550,2.137922,6.95348E-2
551,2.136901,6.89085E-2
552,2.135891,6.82942E-2
