Wavelength_nm,n,k
1140.0,1.52895,1.32e-06
1150.0,1.52836,1.86e-06
1160.0,1.5291,3.63e-06
1170.0,1.52931,6.46e-06
1180.0,1.52946,6.57e-06
1190.0,1.52887,7.64e-06
1200.0,1.52875,7.76e-06
1210.0,1.52869,5.14e-06
1220.0,1.52812,3.08e-06
1230.0,1.52856,2.07e-06
1240.0,1.52859,1.6e-06
1250.0,1.52839,1.35e-06
1260.0,1.52852,1.23e-06
1270.0,1.52884,9e-07
1280.0,1.52839,1.05e-06
1290.0,1.52815,9.67e-07
1300.0,1.52768,9.31e-07
1310.0,1.52771,8.83e-07
1320.0,1.52747,8.35e-07
1330.0,1.52731,8.65e-07
1340.0,1.52706,9.25e-07
1350.0,1.52728,1.1e-06
1360.0,1.52762,1.56e-06
1370.0,1.52788,2.42e-06
1380.0,1.52732,5.17e-06
1390.0,1.52688,5.99e-06
1400.0,1.52748,7.58e-06
1410.0,1.52715,7.68e-06
1420.0,1.52708,8.18e-06
1430.0,1.52738,8.03e-06
1440.0,1.52688,5.3e-06
1450.0,1.52639,4.32e-06
1460.0,1.52657,3.61e-06
1470.0,1.52672,3.41e-06
1480.0,1.52733,2.2e-06
1490.0,1.5266,2.74e-06
1500.0,1.52642,2.36e-06
1510.0,1.52694,2.24e-06
1520.0,1.52618,2.24e-06
1530.0,1.52499,2.16e-06
1540.0,1.52599,1.85e-06
1550.0,1.52688,2.04e-06
1560.0,1.52669,1.9e-06
1570.0,1.52624,1.81e-06
1580.0,1.52656,1.85e-06
1590.0,1.52523,1.92e-06
1600.0,1.52653,1.98e-06
1610.0,1.52582,2.11e-06
1620.0,1.52614,2.31e-06
1630.0,1.52553,2.52e-06
1640.0,1.52614,2.66e-06
1650.0,1.52679,3.12e-06
1660.0,1.52566,4.75e-06
1670.0,1.52602,6.43e-06
1680.0,1.52498,9.27e-06
1690.0,1.52714,2e-05
1700.0,1.52666,5.29e-05
1710.0,1.5266,0.000107
1720.0,1.52844,0.000116
1730.0,1.52769,6.58e-05
1740.0,1.52651,6.8e-05
1750.0,1.52744,7.02e-05
1760.0,1.52591,5.63e-05
1770.0,1.52499,4.85e-05
1780.0,1.52617,4.47e-05
1790.0,1.52766,3.88e-05
1800.0,1.52719,3.24e-05
1810.0,1.52642,3.02e-05
