wl,n
0.70151,1.67934
0.70310,1.67743
0.70469,1.67551
0.70628,1.67359
0.70788,1.67166
0.70947,1.66973
0.71106,1.66780
0.71265,1.66586
0.71424,1.66392
0.71583,1.66198
0.71742,1.66003
0.71902,1.65807
0.72061,1.65612
0.72220,1.65416
0.72379,1.65219
0.72538,1.65023
0.72697,1.64825
0.72856,1.64627
0.73015,1.64429
0.73174,1.64231
0.73333,1.64032
0.73492,1.63833
0.73651,1.63633
0.73810,1.63433
0.73969,1.63232
0.74128,1.63031
0.74287,1.62830
0.74446,1.62627
0.74604,1.62425
0.74763,1.62222
0.74922,1.62019
0.75081,1.61815
0.75240,1.61611
0.75399,1.61406
0.75558,1.61201
0.75716,1.60996
0.75875,1.60790
0.76034,1.60583
0.76193,1.60376
0.76352,1.60168
0.76510,1.59960
0.76669,1.59752
0.76828,1.59543
0.76987,1.59333
0.77145,1.59124
0.77304,1.58913
0.77463,1.58702
0.77621,1.58491
0.77780,1.58279
0.77939,1.58066
0.78097,1.57853
0.78256,1.57640
0.78414,1.57426
0.78573,1.57211
0.78732,1.56996
0.78890,1.56780
0.79049,1.56564
0.79207,1.56348
0.79366,1.56130
0.79524,1.55913
0.79683,1.55694
0.79841,1.55476
0.80000,1.55256
0.80158,1.55036
0.80317,1.54816
0.80475,1.54595
0.80633,1.54373
0.80792,1.54151
0.80950,1.53928
0.81109,1.53705
0.81267,1.53481
0.81425,1.53256
0.81584,1.53031
0.81742,1.52805
0.81900,1.52579
0.82058,1.52352
0.82217,1.52125
0.82375,1.51897
0.82533,1.51668
0.82691,1.51439
0.82850,1.51209
0.83008,1.50978
0.83166,1.50747
0.83324,1.50516
0.83482,1.50283
0.83641,1.50050
0.83799,1.49817
0.83957,1.49582
0.84115,1.49347
0.84273,1.49112
0.84431,1.48876
0.84589,1.48639
0.84747,1.48401
0.84905,1.48163
0.85063,1.47924
0.85221,1.47685
0.85379,1.47445
0.85537,1.47204
0.85695,1.46962
0.85853,1.46720
0.86011,1.46477
0.86169,1.46234
0.86326,1.45990
0.86484,1.45745
0.86642,1.45499
0.86800,1.45253
0.86958,1.45006
0.87116,1.44758
0.87273,1.44510
0.87431,1.44260
0.87589,1.44010
0.87747,1.43760
0.87904,1.43508
0.88062,1.43256
0.88220,1.43003
0.88377,1.42750
0.88535,1.42496
0.88693,1.42240
0.88850,1.41985
0.89008,1.41728
0.89165,1.41471
0.89323,1.41213
0.89481,1.40954
0.89638,1.40694
0.89796,1.40434
0.89953,1.40172
0.90111,1.39910
0.90268,1.39647
0.90425,1.39384
0.90583,1.39119
0.90740,1.38854
0.90898,1.38588
0.91055,1.38321
0.91212,1.38053
0.91370,1.37785
0.91527,1.37515
0.91684,1.37245
0.91842,1.36974
