wl,n
0.555,1.94041
0.556,1.93985
0.557,1.93929
0.558,1.93874
0.559,1.93819
0.560,1.93765
0.561,1.93711
0.562,1.93658
0.563,1.93605
0.564,1.93552
0.565,1.93501
0.566,1.93449
0.567,1.93398
0.568,1.93347
0.569,1.93297
0.570,1.93247
0.571,1.93198
0.572,1.93149
0.573,1.93100
0.574,1.93052
0.575,1.93005
0.576,1.92957
0.577,1.92910
0.578,1.92864
0.579,1.92817
0.580,1.92772
0.581,1.92726
0.582,1.92681
0.583,1.92636
0.584,1.92592
0.585,1.92548
0.586,1.92504
0.587,1.92461
0.588,1.92418
0.589,1.92375
0.590,1.92332
0.591,1.92290
0.592,1.92249
0.593,1.92207
0.594,1.92166
0.595,1.92125
0.596,1.92085
0.597,1.92045
0.598,1.92005
0.599,1.91965
0.600,1.91926
0.601,1.91887
0.602,1.91848
0.603,1.91810
0.604,1.91771
0.605,1.91734
0.606,1.91696
0.607,1.91659
0.608,1.91622
0.609,1.91585
0.610,1.91548
0.611,1.91512
0.612,1.91476
0.613,1.91440
0.614,1.91405
0.615,1.91369
0.616,1.91334
0.617,1.91300
0.618,1.91265
0.619,1.91231
0.620,1.91197
0.621,1.91163
0.622,1.91129
0.623,1.91096
0.624,1.91063
0.625,1.91030
0.626,1.90997
0.627,1.90965
0.628,1.90932
0.629,1.90900
0.630,1.90868
0.631,1.90837
0.632,1.90805
0.633,1.90774
0.634,1.90743
0.635,1.90712
0.636,1.90682
0.637,1.90651
0.638,1.90621
0.639,1.90591
0.640,1.90561
0.641,1.90532
0.642,1.90502
0.643,1.90473
0.644,1.90444
0.645,1.90415
0.646,1.90386
0.647,1.90358
0.648,1.90330
0.649,1.90301
0.650,1.90273
0.651,1.90246
0.652,1.90218
0.653,1.90191
0.654,1.90163
0.655,1.90136
0.656,1.90109
0.657,1.90082
0.658,1.90056
0.659,1.90029
0.660,1.90003
0.661,1.89977
0.662,1.89951
0.663,1.89925
0.664,1.89899
0.665,1.89874
0.666,1.89849
0.667,1.89823
0.668,1.89798
0.669,1.89773
0.670,1.89749
0.671,1.89724
0.672,1.89699
0.673,1.89675
0.674,1.89651
0.675,1.89627
0.676,1.89603
0.677,1.89579
0.678,1.89556
0.679,1.89532
0.680,1.89509
0.681,1.89486
0.682,1.89462
0.683,1.89439
0.684,1.89417
0.685,1.89394
0.686,1.89371
0.687,1.89349
0.688,1.89327
0.689,1.89304
0.690,1.89282
0.691,1.89260
0.692,1.89239
0.693,1.89217
0.694,1.89195
0.695,1.89174
0.696,1.89152
0.697,1.89131
0.698,1.89110
0.699,1.89089
0.700,1.89068
0.701,1.89048
0.702,1.89027
0.703,1.89006
0.704,1.88986
0.705,1.88966
0.706,1.88945
0.707,1.88925
0.708,1.88905
0.709,1.88885
0.710,1.88866
0.711,1.88846
0.712,1.88826
0.713,1.88807
0.714,1.88788
0.715,1.88768
0.716,1.88749
0.717,1.88730
0.718,1.88711
0.719,1.88692
0.720,1.88674
0.721,1.88655
0.722,1.88636
0.723,1.88618
0.724,1.88599
0.725,1.88581
0.726,1.88563
0.727,1.88545
0.728,1.88527
0.729,1.88509
0.730,1.88491
0.731,1.88474
0.732,1.88456
0.733,1.88438
0.734,1.88421
0.735,1.88404
0.736,1.88386
0.737,1.88369
0.738,1.88352
0.739,1.88335
0.740,1.88318
0.741,1.88301
0.742,1.88284
0.743,1.88268
0.744,1.88251
0.745,1.88235
0.746,1.88218
0.747,1.88202
0.748,1.88186
0.749,1.88169
0.750,1.88153
0.751,1.88137
0.752,1.88121
0.753,1.88105
0.754,1.88090
0.755,1.88074
0.756,1.88058
0.757,1.88043
0.758,1.88027
0.759,1.88012
0.760,1.87996
0.761,1.87981
0.762,1.87966
0.763,1.87951
0.764,1.87936
0.765,1.87921
0.766,1.87906
0.767,1.87891
0.768,1.87876
0.769,1.87861
0.770,1.87847
0.771,1.87832
0.772,1.87818
0.773,1.87803
0.774,1.87789
0.775,1.87775
0.776,1.87760
0.777,1.87746
0.778,1.87732
0.779,1.87718
0.780,1.87704
0.781,1.87690
0.782,1.87676
0.783,1.87662
0.784,1.87649
0.785,1.87635
0.786,1.87621
0.787,1.87608
0.788,1.87594
0.789,1.87581
0.790,1.87568
0.791,1.87554
0.792,1.87541
0.793,1.87528
0.794,1.87515
0.795,1.87502
0.796,1.87489
0.797,1.87476
0.798,1.87463
0.799,1.87450
0.800,1.87437
0.801,1.87425
0.802,1.87412
0.803,1.87399
0.804,1.87387
0.805,1.87374
0.806,1.87362
0.807,1.87350
0.808,1.87337
0.809,1.87325
0.810,1.87313
0.811,1.87301
0.812,1.87289
0.813,1.87276
0.814,1.87264
0.815,1.87252
0.816,1.87241
0.817,1.87229
0.818,1.87217
0.819,1.87205
0.820,1.87193
0.821,1.87182
0.822,1.87170
0.823,1.87159
0.824,1.87147
0.825,1.87136
0.826,1.87124
0.827,1.87113
0.828,1.87102
0.829,1.87090
0.830,1.87079
0.831,1.87068
0.832,1.87057
0.833,1.87046
0.834,1.87035
0.835,1.87024
0.836,1.87013
0.837,1.87002
0.838,1.86991
0.839,1.86980
0.840,1.86970
0.841,1.86959
0.842,1.86948
0.843,1.86938
0.844,1.86927
0.845,1.86916
0.846,1.86906
0.847,1.86895
0.848,1.86885
0.849,1.86875
0.850,1.86864
0.851,1.86854
0.852,1.86844
0.853,1.86834
0.854,1.86823
0.855,1.86813
0.856,1.86803
0.857,1.86793
0.858,1.86783
0.859,1.86773
0.860,1.86763
0.861,1.86753
0.862,1.86744
0.863,1.86734
0.864,1.86724
0.865,1.86714
0.866,1.86705
0.867,1.86695
0.868,1.86685
0.869,1.86676
0.870,1.86666
0.871,1.86657
0.872,1.86647
0.873,1.86638
0.874,1.86629
0.875,1.86619
0.876,1.86610
0.877,1.86601
0.878,1.86591
0.879,1.86582
0.880,1.86573
0.881,1.86564
0.882,1.86555
0.883,1.86546
0.884,1.86537
0.885,1.86528
0.886,1.86519
0.887,1.86510
0.888,1.86501
0.889,1.86492
0.890,1.86483
0.891,1.86474
0.892,1.86466
0.893,1.86457
0.894,1.86448
0.895,1.86440
0.896,1.86431
0.897,1.86422
0.898,1.86414
0.899,1.86405
0.900,1.86397
0.901,1.86388
0.902,1.86380
0.903,1.86372
0.904,1.86363
0.905,1.86355
0.906,1.86346
0.907,1.86338
0.908,1.86330
0.909,1.86322
0.910,1.86314
0.911,1.86305
0.912,1.86297
0.913,1.86289
0.914,1.86281
0.915,1.86273
0.916,1.86265
0.917,1.86257
0.918,1.86249
0.919,1.86241
0.920,1.86233
0.921,1.86225
0.922,1.86218
0.923,1.86210
0.924,1.86202
0.925,1.86194
0.926,1.86187
0.927,1.86179
0.928,1.86171
0.929,1.86164
0.930,1.86156
0.931,1.86148
0.932,1.86141
0.933,1.86133
0.934,1.86126
0.935,1.86118
0.936,1.86111
0.937,1.86103
0.938,1.86096
0.939,1.86089
0.940,1.86081
0.941,1.86074
0.942,1.86067
0.943,1.86059
0.944,1.86052
0.945,1.86045
0.946,1.86038
0.947,1.86031
0.948,1.86023
0.949,1.86016
0.950,1.86009
0.951,1.86002
0.952,1.85995
0.953,1.85988
0.954,1.85981
0.955,1.85974
0.956,1.85967
0.957,1.85960
0.958,1.85953
0.959,1.85947
0.960,1.85940
0.961,1.85933
0.962,1.85926
0.963,1.85919
0.964,1.85913
0.965,1.85906
0.966,1.85899
0.967,1.85892
0.968,1.85886
0.969,1.85879
0.970,1.85872
0.971,1.85866
0.972,1.85859
0.973,1.85853
0.974,1.85846
0.975,1.85840
0.976,1.85833
0.977,1.85827
0.978,1.85820
0.979,1.85814
0.980,1.85807
0.981,1.85801
0.982,1.85795
0.983,1.85788
0.984,1.85782
0.985,1.85776
0.986,1.85769
0.987,1.85763
0.988,1.85757
0.989,1.85751
0.990,1.85745
0.991,1.85738
0.992,1.85732
0.993,1.85726
0.994,1.85720
0.995,1.85714
0.996,1.85708
0.997,1.85702
0.998,1.85696
0.999,1.85690
1.000,1.85684
1.001,1.85678
1.002,1.85672
1.003,1.85666
1.004,1.85660
1.005,1.85654
1.006,1.85648
1.007,1.85642
1.008,1.85636
1.009,1.85631
1.010,1.85625
1.011,1.85619
1.012,1.85613
1.013,1.85608
1.014,1.85602
1.015,1.85596
1.016,1.85590
1.017,1.85585
1.018,1.85579
1.019,1.85573
1.020,1.85568
1.021,1.85562
1.022,1.85557
1.023,1.85551
1.024,1.85545
1.025,1.85540
1.026,1.85534
1.027,1.85529
1.028,1.85523
1.029,1.85518
1.030,1.85512
1.031,1.85507
1.032,1.85502
1.033,1.85496
1.034,1.85491
1.035,1.85485
1.036,1.85480
1.037,1.85475
1.038,1.85469
1.039,1.85464
1.040,1.85459
1.041,1.85454
1.042,1.85448
1.043,1.85443
1.044,1.85438
1.045,1.85433
1.046,1.85428
1.047,1.85422
1.048,1.85417
1.049,1.85412
1.050,1.85407
1.051,1.85402
1.052,1.85397
1.053,1.85392
1.054,1.85387
1.055,1.85382
1.056,1.85376
1.057,1.85371
1.058,1.85366
1.059,1.85361
1.060,1.85357
1.061,1.85352
1.062,1.85347
1.063,1.85342
1.064,1.85337
1.065,1.85332
1.066,1.85327
1.067,1.85322
1.068,1.85317
1.069,1.85312
1.070,1.85308
1.071,1.85303
1.072,1.85298
1.073,1.85293
1.074,1.85288
1.075,1.85284
1.076,1.85279
1.077,1.85274
1.078,1.85270
1.079,1.85265
1.080,1.85260
1.081,1.85255
1.082,1.85251
1.083,1.85246
1.084,1.85242
1.085,1.85237
1.086,1.85232
1.087,1.85228
1.088,1.85223
1.089,1.85219
1.090,1.85214
1.091,1.85210
1.092,1.85205
1.093,1.85201
1.094,1.85196
1.095,1.85192
1.096,1.85187
1.097,1.85183
1.098,1.85178
1.099,1.85174
1.100,1.85169
1.101,1.85165
1.102,1.85160
1.103,1.85156
1.104,1.85152
1.105,1.85147
1.106,1.85143
1.107,1.85139
1.108,1.85134
1.109,1.85130
1.110,1.85126
1.111,1.85121
1.112,1.85117
1.113,1.85113
1.114,1.85109
1.115,1.85104
1.116,1.85100
1.117,1.85096
1.118,1.85092
1.119,1.85088
1.120,1.85083
1.121,1.85079
1.122,1.85075
1.123,1.85071
1.124,1.85067
1.125,1.85063
1.126,1.85059
1.127,1.85054
1.128,1.85050
1.129,1.85046
1.130,1.85042
1.131,1.85038
1.132,1.85034
1.133,1.85030
1.134,1.85026
1.135,1.85022
1.136,1.85018
1.137,1.85014
1.138,1.85010
1.139,1.85006
1.140,1.85002
1.141,1.84998
1.142,1.84994
1.143,1.84990
1.144,1.84986
1.145,1.84982
1.146,1.84979
1.147,1.84975
1.148,1.84971
1.149,1.84967
1.150,1.84963
1.151,1.84959
1.152,1.84955
1.153,1.84952
1.154,1.84948
1.155,1.84944
1.156,1.84940
1.157,1.84937
1.158,1.84933
1.159,1.84929
1.160,1.84925
1.161,1.84922
1.162,1.84918
1.163,1.84914
1.164,1.84910
1.165,1.84907
1.166,1.84903
1.167,1.84899
1.168,1.84896
1.169,1.84892
1.170,1.84888
1.171,1.84885
1.172,1.84881
1.173,1.84877
1.174,1.84874
1.175,1.84870
1.176,1.84867
1.177,1.84863
1.178,1.84859
1.179,1.84856
1.180,1.84852
1.181,1.84849
1.182,1.84845
1.183,1.84842
1.184,1.84838
1.185,1.84835
1.186,1.84831
1.187,1.84828
1.188,1.84824
1.189,1.84821
1.190,1.84817
1.191,1.84814
1.192,1.84810
1.193,1.84807
1.194,1.84803
1.195,1.84800
1.196,1.84796
1.197,1.84793
1.198,1.84790
1.199,1.84786
1.200,1.84783
1.201,1.84779
1.202,1.84776
1.203,1.84773
1.204,1.84769
1.205,1.84766
1.206,1.84763
1.207,1.84759
1.208,1.84756
1.209,1.84753
1.210,1.84749
1.211,1.84746
1.212,1.84743
1.213,1.84740
1.214,1.84736
1.215,1.84733
1.216,1.84730
